dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,wind_gust,weather,pop,date,hour
2022-06-04 15:00:00,20.66,20.5,1014,66,14.09,6.36,20,10000,4.94,250,4.87,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",0.12,2022-06-04,15
2022-06-04 16:00:00,20.75,20.55,1015,64,13.7,4.19,21,10000,4.26,262,4.3,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",0.08,2022-06-04,16
2022-06-04 17:00:00,20.73,20.53,1015,64,13.68,2.24,20,10000,4.09,273,4.1,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",0.04,2022-06-04,17
2022-06-04 18:00:00,20.41,20.18,1016,64,13.38,0.9,18,10000,4.34,285,4.47,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",0.0,2022-06-04,18
2022-06-04 19:00:00,19.45,19.28,1017,70,13.84,0.23,7,10000,4.82,302,5.82,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0.0,2022-06-04,19
2022-06-04 20:00:00,17.8,17.67,1019,78,14.17,0.0,3,10000,4.14,315,6.31,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0.0,2022-06-04,20
2022-06-04 21:00:00,17.29,17.19,1020,81,14.32,0.0,2,10000,3.37,326,6.16,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0.0,2022-06-04,21
2022-06-04 22:00:00,16.97,16.86,1020,82,14.21,0.0,1,10000,2.19,322,4.34,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0.0,2022-06-04,22
2022-06-04 23:00:00,16.71,16.63,1020,84,14.15,0.0,1,10000,2.15,319,4.63,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0.0,2022-06-04,23
2022-06-05 00:00:00,16.48,16.4,1020,85,14.11,0.0,13,10000,2.0,324,4.42,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",0.0,2022-06-05,0
