dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,weather,pop,wind_gust,date,hour
2022-08-23 15:00:00,29.01,29.32,1011,47,16.56,4.51,0,10000,3.18,274,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0.0,,2022-08-23,15
2022-08-23 16:00:00,28.82,28.99,1011,46,16.05,2.44,20,10000,3.97,296,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",0.0,,2022-08-23,16
2022-08-23 17:00:00,27.95,28.31,1011,49,16.25,1.12,33,10000,4.92,319,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",0.0,,2022-08-23,17
2022-08-23 18:00:00,26.04,26.04,1011,55,16.3,0.34,46,10000,4.72,326,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",0.0,5.68,2022-08-23,18
2022-08-23 19:00:00,23.51,23.61,1011,65,16.55,0.0,26,10000,4.65,331,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",0.0,6.85,2022-08-23,19
2022-08-23 20:00:00,20.68,20.81,1012,77,16.62,0.0,20,10000,4.1,345,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",0.0,6.54,2022-08-23,20
2022-08-23 21:00:00,20.24,20.38,1012,79,16.77,0.0,17,10000,3.48,353,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",0.0,5.71,2022-08-23,21
2022-08-23 22:00:00,19.81,19.96,1012,81,16.63,0.0,15,10000,3.13,340,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",0.0,5.02,2022-08-23,22
2022-08-23 23:00:00,19.36,19.52,1012,83,16.66,0.0,15,10000,3.32,336,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",0.0,5.25,2022-08-23,23
2022-08-24 00:00:00,19.12,19.28,1012,84,16.66,0.0,15,10000,3.48,342,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",0.0,5.26,2022-08-24,0
2022-08-24 01:00:00,18.89,19.08,1012,86,16.69,0.0,18,10000,3.49,344,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",0.0,5.34,2022-08-24,1
2022-08-24 02:00:00,18.78,18.96,1012,86,16.56,0.0,19,10000,3.39,347,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",0.0,5.02,2022-08-24,2
2022-08-24 03:00:00,18.68,18.85,1012,86,16.56,0.0,19,10000,3.22,346,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",0.0,5.04,2022-08-24,3
