dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,wind_gust,weather,pop,rain,date,hour
2022-10-30 15:00:00,20.31,20.25,1018,71,14.88,1.83,20,10000,1.6,196,2.11,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",0.0,,2022-10-30,15
2022-10-30 16:00:00,20.24,20.1,1018,68,14.15,0.83,22,10000,1.26,218,1.66,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",0.0,,2022-10-30,16
2022-10-30 17:00:00,19.87,19.66,1018,67,13.57,0.22,29,10000,1.09,225,1.24,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",0.0,,2022-10-30,17
2022-10-30 18:00:00,19.21,18.96,1017,68,13.17,0.0,40,10000,0.75,273,0.82,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",0.0,,2022-10-30,18
2022-10-30 19:00:00,18.77,18.45,1017,67,12.52,0.0,84,10000,0.26,204,0.58,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",0.0,,2022-10-30,19
2022-10-30 20:00:00,18.22,17.85,1017,67,12.22,0.0,100,10000,0.81,160,1.33,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",0.0,,2022-10-30,20
2022-10-30 21:00:00,18.08,17.72,1017,68,12.39,0.0,100,10000,1.22,184,1.89,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",0.0,,2022-10-30,21
2022-10-30 22:00:00,18.07,17.71,1016,68,12.31,0.0,100,10000,1.28,164,2.17,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",0.0,,2022-10-30,22
2022-10-30 23:00:00,17.76,17.39,1016,69,12.2,0.0,100,10000,1.55,172,3.27,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",0.0,,2022-10-30,23
2022-10-31 00:00:00,17.74,17.35,1015,68,12.07,0.0,100,10000,1.91,169,4.62,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",0.0,,2022-10-31,0
2022-10-31 01:00:00,17.71,17.34,1015,69,12.28,0.0,100,10000,1.71,190,4.88,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",0.03,,2022-10-31,1
2022-10-31 02:00:00,17.83,17.55,1015,72,12.99,0.0,100,10000,1.88,227,5.49,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",0.17,,2022-10-31,2
2022-10-31 03:00:00,17.89,17.72,1015,76,13.98,0.0,100,10000,1.95,220,5.73,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",0.24,,2022-10-31,3
2022-10-31 04:00:00,17.78,17.73,1015,81,14.81,0.0,100,10000,2.14,193,6.62,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",0.35,,2022-10-31,4
2022-10-31 05:00:00,17.35,17.44,1015,88,15.54,0.0,100,10000,2.44,181,6.76,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",0.59,{'1h': 0.83},2022-10-31,5
