dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,wind_gust,weather,date,hour
2022-01-14 00:00:00,9.14,9.14,1026,65,2.91,0.0,0,10000,0.89,102,1.79,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-01-14,0
2022-01-14 01:00:00,8.45,8.45,1025,67,2.68,0.0,0,10000,0.89,82,2.24,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-01-14,1
2022-01-14 02:00:00,7.94,7.49,1024,68,2.4,0.0,0,10000,1.34,111,2.24,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-01-14,2
2022-01-14 03:00:00,7.32,6.79,1023,71,2.42,0.0,0,10000,1.34,101,2.68,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-01-14,3
2022-01-14 04:00:00,7.15,7.15,1024,70,2.05,0.0,0,10000,0.89,91,2.24,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-01-14,4
2022-01-14 05:00:00,6.67,6.06,1023,71,1.79,0.0,0,10000,1.34,101,2.24,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-01-14,5
2022-01-14 06:00:00,6.84,5.72,1024,69,1.56,0.0,0,10000,1.79,129,2.68,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-01-14,6
2022-01-14 07:00:00,6.6,6.6,1025,71,1.72,0.0,0,10000,0.89,104,1.79,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-01-14,7
2022-01-14 08:00:00,6.35,6.35,1026,73,1.87,0.0,0,10000,0.89,128,2.68,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-01-14,8
2022-01-14 09:00:00,6.9,6.9,1026,72,2.21,0.25,0,10000,0.89,103,3.58,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-01-14,9
2022-01-14 10:00:00,7.62,5.07,1027,68,2.1,0.66,0,10000,4.02,104,6.26,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-01-14,10
2022-01-14 11:00:00,8.86,8.53,1027,66,2.86,1.16,0,10000,1.34,126,4.02,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-01-14,11
2022-01-14 12:00:00,10.54,9.27,1027,62,3.57,1.53,0,10000,3.58,120,4.92,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-01-14,12
2022-01-14 13:00:00,12.33,11.13,1026,58,4.31,1.6,0,10000,1.34,154,4.92,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-01-14,13
2022-01-14 14:00:00,13.14,11.92,1025,54,4.05,1.31,0,10000,2.24,141,4.92,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-01-14,14
2022-01-14 15:00:00,13.82,12.72,1025,56,5.2,0.81,20,10000,1.79,129,4.02,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",2022-01-14,15
2022-01-14 16:00:00,13.94,12.8,1024,54,4.79,0.37,20,10000,0.89,120,2.24,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",2022-01-14,16
2022-01-14 17:00:00,13.55,12.45,1025,57,5.2,0.0,75,10000,2.24,132,4.02,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",2022-01-14,17
2022-01-14 18:00:00,12.42,11.31,1025,61,5.12,0.0,75,10000,0.89,131,2.24,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",2022-01-14,18
2022-01-14 19:00:00,11.54,10.39,1024,63,4.75,0.0,20,10000,0.89,123,1.79,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",2022-01-14,19
2022-01-14 20:00:00,10.99,9.79,1023,63,4.23,0.0,20,10000,0.45,49,0.89,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",2022-01-14,20
2022-01-14 21:00:00,11.09,9.9,1022,63,4.32,0.0,20,10000,0.89,109,1.79,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",2022-01-14,21
2022-01-14 22:00:00,10.54,9.35,1023,65,4.24,0.0,20,10000,0.45,91,1.34,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",2022-01-14,22
2022-01-14 23:00:00,10.61,9.37,1021,63,3.87,0.0,40,10000,0.45,113,1.34,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",2022-01-14,23
2022-01-15 00:00:00,10.02,8.83,1023,67,4.18,0.0,20,10000,1.34,134,2.24,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",2022-01-15,0
2022-01-15 01:00:00,9.52,9.52,1024,66,3.49,0.0,0,10000,0.89,132,2.68,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-01-15,1
2022-01-15 02:00:00,9.11,8.11,1027,68,3.52,0.0,20,10000,2.06,60,,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",2022-01-15,2
2022-01-15 03:00:00,8.74,8.4,1022,67,2.96,0.0,0,10000,1.34,135,2.24,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-01-15,3
2022-01-15 04:00:00,8.4,8.4,1022,67,2.64,0.0,0,10000,0.89,135,1.79,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-01-15,4
