dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,weather,wind_gust,date,hour,rain
2022-01-15 00:00:00,10.57,9.43,1023,67,4.71,0.0,20,10000,2.57,50,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-01-15,0,
2022-01-15 01:00:00,10.08,8.89,1023,67,4.24,0.0,0,10000,2.06,50,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,2022-01-15,1,
2022-01-15 02:00:00,9.62,8.7,1023,67,3.8,0.0,20,10000,2.06,60,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-01-15,2,
2022-01-15 03:00:00,9.32,7.97,1021,67,3.51,0.0,0,10000,2.57,50,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,2022-01-15,3,
2022-01-15 04:00:00,8.98,7.57,1021,67,3.19,0.0,0,10000,2.57,50,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,2022-01-15,4,
2022-01-15 05:00:00,8.57,7.08,1020,66,2.59,0.0,0,10000,2.57,40,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,2022-01-15,5,
2022-01-15 06:00:00,8.18,6.62,1022,70,3.04,0.0,0,10000,2.57,50,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,2022-01-15,6,
2022-01-15 07:00:00,8.14,6.57,1023,71,3.2,0.0,0,10000,2.57,60,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,2022-01-15,7,
2022-01-15 08:00:00,7.77,6.13,1024,73,3.24,0.0,20,10000,2.57,60,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,2022-01-15,8,
2022-01-15 09:00:00,8.27,6.08,1024,72,3.53,0.17,0,10000,3.6,60,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,2022-01-15,9,
2022-01-15 10:00:00,9.82,8.24,1024,67,3.99,0.44,0,10000,3.09,60,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,2022-01-15,10,
2022-01-15 11:00:00,10.41,9.33,1025,70,5.18,0.78,0,10000,3.09,70,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,2022-01-15,11,
2022-01-15 12:00:00,10.98,9.99,1025,71,5.93,1.02,0,10000,3.09,70,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",,2022-01-15,12,
2022-01-15 13:00:00,12.12,11.19,1024,69,6.61,0.93,0,10000,2.57,70,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,2022-01-15,13,
2022-01-15 14:00:00,13.11,12.23,1023,67,7.13,0.76,0,10000,2.06,70,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,2022-01-15,14,
2022-01-15 15:00:00,13.85,13.01,1022,66,7.61,0.47,0,10000,2.06,90,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",,2022-01-15,15,
2022-01-15 16:00:00,14.27,13.48,1022,66,8.01,0.23,20,10000,1.03,0,"[{'id': 520, 'main': 'Rain', 'description': 'light intensity shower rain', 'icon': '09d'}]",,2022-01-15,16,
2022-01-15 17:00:00,14.21,13.49,1022,69,8.61,0.0,20,10000,1.03,80,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,2022-01-15,17,
2022-01-15 18:00:00,13.19,12.44,1022,72,8.26,0.0,20,10000,1.03,0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-01-15,18,
2022-01-15 19:00:00,12.48,11.74,1022,75,8.18,0.0,0,10000,2.57,30,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,2022-01-15,19,
2022-01-15 20:00:00,12.01,11.25,1022,76,7.92,0.0,20,10000,1.03,60,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-01-15,20,
2022-01-15 21:00:00,11.85,11.1,1021,77,7.95,0.0,0,10000,1.03,0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",6.17,2022-01-15,21,
2022-01-15 22:00:00,11.2,10.39,1022,77,7.32,0.0,20,10000,1.03,30,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-01-15,22,
2022-01-15 23:00:00,10.97,10.21,1023,80,7.66,0.0,20,10000,1.54,0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-01-15,23,
2022-01-16 00:00:00,10.87,10.1,1022,80,7.56,0.0,20,10000,2.06,0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-01-16,0,
2022-01-16 01:00:00,10.2,9.47,1023,84,7.62,0.0,20,10000,2.06,50,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-01-16,1,
2022-01-16 02:00:00,10.0,10.0,1023,85,7.6,0.0,20,10000,1.03,40,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-01-16,2,
2022-01-16 03:00:00,9.88,9.0,1023,84,7.31,0.0,20,10000,2.06,30,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-01-16,3,
