dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,weather,rain,date,hour,wind_gust
2022-01-16 00:00:00,10.87,10.1,1022,80,7.56,0.0,20,10000,2.06,0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-01-16,0,
2022-01-16 01:00:00,10.2,9.47,1023,84,7.62,0.0,20,10000,2.06,50,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-01-16,1,
2022-01-16 02:00:00,10.0,10.0,1023,85,7.6,0.0,20,10000,1.03,40,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-01-16,2,
2022-01-16 03:00:00,9.88,9.0,1023,84,7.31,0.0,20,10000,2.06,30,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-01-16,3,
2022-01-16 04:00:00,9.22,8.72,1023,86,7.0,0.0,20,9000,1.54,20,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-01-16,4,
2022-01-16 05:00:00,8.74,7.67,1024,87,6.7,0.0,20,9000,2.06,40,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-01-16,5,
2022-01-16 06:00:00,8.51,7.4,1024,87,6.47,0.0,0,10000,2.06,50,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,2022-01-16,6,
2022-01-16 07:00:00,8.4,6.88,1025,87,6.36,0.0,0,10000,2.57,50,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]",{'1h': 1.02},2022-01-16,7,
2022-01-16 08:00:00,8.19,6.63,1026,86,5.99,0.0,0,10000,2.57,50,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,2022-01-16,8,
2022-01-16 09:00:00,8.65,7.17,1026,84,6.1,0.31,20,10000,2.57,50,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,2022-01-16,9,
2022-01-16 10:00:00,9.86,7.78,1027,81,6.76,0.83,40,10000,4.12,60,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50d'}]",,2022-01-16,10,
2022-01-16 11:00:00,11.79,10.93,1030,73,7.11,1.48,90,3000,3.6,40,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50d'}]",,2022-01-16,11,
2022-01-16 12:00:00,11.99,11.28,1030,78,8.28,1.95,90,500,2.57,40,"[{'id': 741, 'main': 'Fog', 'description': 'fog', 'icon': '50d'}]",,2022-01-16,12,
2022-01-16 13:00:00,13.93,13.31,1029,74,9.38,2.08,20,10000,2.06,60,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,2022-01-16,13,
2022-01-16 14:00:00,15.19,14.57,1023,69,9.55,1.71,0,10000,2.06,60,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,2022-01-16,14,
2022-01-16 15:00:00,15.95,15.35,1023,67,9.84,1.05,0,10000,2.06,60,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,2022-01-16,15,
2022-01-16 16:00:00,15.6,15.04,1029,70,10.15,0.44,20,10000,2.06,50,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,2022-01-16,16,
2022-01-16 17:00:00,15.2,14.63,1025,71,9.98,0.0,0,10000,1.54,60,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,2022-01-16,17,
2022-01-16 18:00:00,13.79,13.21,1026,76,9.64,0.0,0,10000,1.54,40,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,2022-01-16,18,
2022-01-16 19:00:00,12.7,12.11,1026,80,9.34,0.0,0,10000,1.03,360,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,2022-01-16,19,
2022-01-16 20:00:00,12.37,11.73,1026,79,8.84,0.0,0,10000,1.54,20,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,2022-01-16,20,
2022-01-16 21:00:00,11.72,11.09,1027,82,8.75,0.0,0,10000,2.06,10,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,2022-01-16,21,
2022-01-16 22:00:00,11.31,10.64,1027,82,8.35,0.0,0,10000,3.09,30,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,2022-01-16,22,
2022-01-16 23:00:00,11.26,10.48,1026,78,7.57,0.0,0,10000,2.57,40,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,2022-01-16,23,
2022-01-17 00:00:00,10.64,9.82,1027,79,7.15,0.0,0,10000,3.09,50,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,2022-01-17,0,
