dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,weather,date,hour,wind_gust,rain
2022-03-19 00:00:00,14.14,13.18,1015,60,6.5,0.0,0,10000,2.57,60,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-03-19,0,,
2022-03-19 01:00:00,13.24,12.29,1016,64,6.59,0.0,0,10000,3.09,60,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-03-19,1,,
2022-03-19 02:00:00,12.74,11.77,1014,65,6.34,0.0,0,10000,3.09,40,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-03-19,2,,
2022-03-19 03:00:00,12.19,11.24,1014,68,6.47,0.0,0,10000,1.54,10,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-03-19,3,,
2022-03-19 04:00:00,12.12,11.22,1013,70,6.82,0.0,0,10000,2.06,50,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-03-19,4,,
2022-03-19 05:00:00,11.36,10.48,1015,74,6.9,0.0,0,10000,2.57,60,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-03-19,5,,
2022-03-19 06:00:00,11.19,10.27,1014,73,6.54,0.0,0,10000,2.57,50,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-03-19,6,,
2022-03-19 07:00:00,10.73,9.84,1015,76,6.68,0.0,0,10000,3.09,50,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-03-19,7,,
2022-03-19 08:00:00,11.54,10.71,1016,75,7.27,0.36,0,10000,4.12,50,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-03-19,8,,
2022-03-19 09:00:00,13.08,12.27,1017,70,7.74,1.06,0,10000,4.12,60,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-03-19,9,,
2022-03-19 10:00:00,15.45,14.7,1016,63,8.45,2.73,20,10000,3.6,100,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",2022-03-19,10,,
2022-03-19 11:00:00,16.78,16.08,1016,60,8.98,4.11,20,10000,3.6,120,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",2022-03-19,11,,
2022-03-19 12:00:00,18.46,17.82,1015,56,9.53,5.03,20,10000,5.14,130,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",2022-03-19,12,,
2022-03-19 13:00:00,19.02,18.36,1015,53,9.23,5.05,20,10000,4.12,130,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",2022-03-19,13,,
2022-03-19 14:00:00,19.68,18.96,1014,48,8.38,4.34,20,10000,4.12,140,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",2022-03-19,14,,
2022-03-19 15:00:00,20.02,19.36,1013,49,8.99,3.06,20,10000,3.6,150,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",2022-03-19,15,,
2022-03-19 16:00:00,19.9,19.23,1013,49,8.88,1.42,0,10000,4.12,160,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-03-19,16,,
2022-03-19 17:00:00,19.21,18.49,1013,50,8.55,0.55,40,10000,3.09,100,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",2022-03-19,17,,
