dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,weather,date,hour,wind_gust
2022-03-26 00:00:00,14.21,13.64,1010,75,9.85,0.0,0,10000,4.63,20,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-03-26,0,
2022-03-26 01:00:00,13.8,13.19,1010,75,9.45,0.0,0,10000,5.66,50,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-03-26,1,
2022-03-26 02:00:00,13.72,13.08,1008,74,9.17,0.0,0,10000,4.63,50,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-03-26,2,
2022-03-26 03:00:00,13.18,12.59,1009,78,9.43,0.0,0,10000,5.14,50,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-03-26,3,
2022-03-26 04:00:00,12.67,12.06,1009,79,9.13,0.0,0,10000,5.14,50,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-03-26,4,
2022-03-26 05:00:00,11.96,11.3,1009,80,8.62,0.0,0,10000,3.09,50,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-03-26,5,
2022-03-26 06:00:00,11.84,11.17,1008,80,8.51,0.0,0,10000,3.6,70,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-03-26,6,
2022-03-26 07:00:00,11.76,11.11,1009,81,8.61,0.11,0,10000,4.12,70,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-03-26,7,
2022-03-26 08:00:00,12.16,11.57,1010,82,9.18,0.64,0,10000,3.09,60,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-03-26,8,
2022-03-26 09:00:00,13.08,12.53,1011,80,9.71,1.76,20,10000,3.09,70,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",2022-03-26,9,
2022-03-26 10:00:00,14.5,13.94,1012,74,9.93,3.38,0,10000,3.09,30,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-03-26,10,
2022-03-26 11:00:00,15.38,14.83,1012,71,10.16,5.0,20,10000,3.6,20,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",2022-03-26,11,
2022-03-26 12:00:00,16.92,16.36,1011,65,10.31,6.08,20,10000,4.12,10,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",2022-03-26,12,
2022-03-26 13:00:00,17.65,17.06,1011,61,10.05,5.37,20,10000,5.14,130,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",2022-03-26,13,
2022-03-26 14:00:00,18.65,18.03,1010,56,9.71,4.63,20,10000,4.63,140,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",2022-03-26,14,
2022-03-26 15:00:00,18.24,17.63,1010,58,9.85,3.3,20,10000,3.09,120,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",2022-03-26,15,
2022-03-26 16:00:00,18.32,17.67,1014,56,9.4,1.05,20,10000,3.09,320,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",2022-03-26,16,
2022-03-26 17:00:00,18.48,17.82,1014,55,9.28,0.42,20,10000,2.57,110,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",2022-03-26,17,
2022-03-26 18:00:00,18.01,17.3,1010,55,8.84,0.1,0,10000,3.6,20,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-03-26,18,
2022-03-26 19:00:00,17.0,16.4,1011,63,9.91,0.0,0,10000,2.06,70,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-03-26,19,
2022-03-26 20:00:00,16.32,15.7,1011,65,9.74,0.0,20,10000,3.6,20,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",2022-03-26,20,
2022-03-26 21:00:00,16.19,15.61,1011,67,10.06,0.0,40,10000,3.6,20,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",2022-03-26,21,
2022-03-26 22:00:00,15.31,14.75,1012,71,10.09,0.0,40,10000,2.06,40,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",2022-03-26,22,
2022-03-26 23:00:00,15.27,14.71,1011,71,10.05,0.0,20,10000,2.06,50,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",2022-03-26,23,
2022-03-27 00:00:00,14.84,14.26,1011,72,9.85,0.0,0,10000,2.57,40,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-03-27,0,
2022-03-27 01:00:00,14.35,13.72,1011,72,9.37,0.0,0,10000,3.09,50,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-03-27,1,
2022-03-27 02:00:00,13.87,13.24,1011,74,9.32,0.0,0,10000,3.09,50,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-03-27,2,
2022-03-27 03:00:00,13.18,12.56,1012,77,9.24,0.0,0,10000,3.6,60,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-03-27,3,
2022-03-27 04:00:00,12.76,12.05,1010,75,8.45,0.0,0,10000,3.6,50,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-03-27,4,
2022-03-27 05:00:00,12.6,11.87,1010,75,8.29,0.0,0,10000,5.14,50,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-03-27,5,
2022-03-27 06:00:00,12.47,11.78,1012,77,8.55,0.0,0,10000,4.63,50,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-03-27,6,
2022-03-27 07:00:00,12.31,11.61,1013,77,8.4,0.11,0,10000,4.63,60,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-03-27,7,
2022-03-27 08:00:00,12.91,12.27,1014,77,8.98,0.61,0,10000,4.12,60,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-03-27,8,
2022-03-27 09:00:00,13.96,13.34,1014,74,9.41,1.65,0,10000,6.17,60,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-03-27,9,
2022-03-27 10:00:00,15.53,14.91,1014,68,9.66,3.09,20,10000,6.17,50,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",2022-03-27,10,11.32
2022-03-27 11:00:00,17.17,16.59,1014,63,10.07,4.57,20,10000,5.66,80,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",2022-03-27,11,
2022-03-27 12:00:00,18.69,18.18,1013,60,10.78,5.55,20,10000,5.14,70,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",2022-03-27,12,
2022-03-27 13:00:00,19.74,19.26,1013,57,10.99,5.79,20,10000,6.17,70,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",2022-03-27,13,
2022-03-27 14:00:00,20.66,20.11,1012,51,10.17,5.0,20,10000,5.14,80,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",2022-03-27,14,
2022-03-27 15:00:00,21.03,20.47,1012,49,9.92,3.57,20,10000,6.69,120,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",2022-03-27,15,
