dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,weather,date,hour,rain,wind_gust
2022-05-19 00:00:00,15.96,15.31,1014,65,9.39,0.0,0,10000,2.57,360,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-05-19,0,,
2022-05-19 01:00:00,15.8,15.08,1014,63,8.78,0.0,0,10000,3.6,350,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-05-19,1,,
2022-05-19 02:00:00,15.46,14.78,1013,66,9.15,0.0,0,10000,4.12,350,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-05-19,2,,
2022-05-19 03:00:00,15.18,14.5,1013,67,9.1,0.0,0,10000,2.06,20,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-05-19,3,,
2022-05-19 04:00:00,15.01,14.47,1013,73,10.22,0.0,0,10000,2.06,340,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-05-19,4,,
2022-05-19 05:00:00,14.77,14.29,1012,76,10.59,0.0,0,10000,3.6,340,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-05-19,5,,
2022-05-19 06:00:00,15.12,14.67,1013,76,10.93,0.09,0,10000,6.17,360,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-05-19,6,,
2022-05-19 07:00:00,16.29,15.85,1014,72,11.24,0.5,0,10000,5.66,10,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-05-19,7,,
2022-05-19 08:00:00,18.07,17.53,1014,61,10.44,1.45,20,10000,7.2,10,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",2022-05-19,8,,
2022-05-19 09:00:00,20.37,19.82,1014,52,10.2,2.98,0,10000,6.17,360,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-05-19,9,,
2022-05-19 10:00:00,22.04,21.5,1014,46,9.9,5.52,0,10000,5.14,360,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-05-19,10,,
2022-05-19 11:00:00,23.78,23.28,1013,41,9.75,7.5,0,10000,4.63,360,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-05-19,11,,
2022-05-19 12:00:00,25.35,24.96,1013,39,10.41,8.77,0,10000,5.14,360,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-05-19,12,,
2022-05-19 13:00:00,26.17,26.17,1012,37,10.35,8.73,0,10000,4.63,360,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-05-19,13,,
2022-05-19 14:00:00,27.35,26.97,1012,37,11.39,7.75,0,10000,5.14,20,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-05-19,14,,
2022-05-19 15:00:00,27.25,26.95,1012,38,11.71,5.94,0,10000,4.63,10,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-05-19,15,,
2022-05-19 16:00:00,26.93,26.91,1012,42,12.94,3.14,0,10000,6.17,10,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-05-19,16,,
