dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,weather,date,hour
2022-05-22 00:00:00,16.41,16.48,1011,91,14.94,0.0,75,10000,7.2,220,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",2022-05-22,0
2022-05-22 01:00:00,16.41,16.51,1010,92,15.11,0.0,75,9000,6.69,220,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",2022-05-22,1
2022-05-22 02:00:00,16.41,16.53,1010,93,15.28,0.0,75,9000,7.2,230,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",2022-05-22,2
2022-05-22 03:00:00,16.61,16.73,1015,92,15.31,0.0,75,10000,7.72,230,"[{'id': 300, 'main': 'Drizzle', 'description': 'light intensity drizzle', 'icon': '09n'}]",2022-05-22,3
2022-05-22 04:00:00,16.46,16.59,1010,93,15.33,0.0,75,10000,6.17,240,"[{'id': 300, 'main': 'Drizzle', 'description': 'light intensity drizzle', 'icon': '09n'}]",2022-05-22,4
2022-05-22 05:00:00,16.47,16.6,1010,93,15.34,0.0,75,10000,6.17,240,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",2022-05-22,5
2022-05-22 06:00:00,16.7,16.83,1011,92,15.39,0.05,75,10000,5.14,240,"[{'id': 300, 'main': 'Drizzle', 'description': 'light intensity drizzle', 'icon': '09d'}]",2022-05-22,6
2022-05-22 07:00:00,16.81,16.95,1012,92,15.5,0.4,75,10000,5.14,250,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",2022-05-22,7
2022-05-22 08:00:00,16.99,17.09,1012,90,15.34,1.12,75,8000,4.63,270,"[{'id': 300, 'main': 'Drizzle', 'description': 'light intensity drizzle', 'icon': '09d'}]",2022-05-22,8
2022-05-22 09:00:00,17.9,17.97,1012,85,15.34,2.29,75,10000,4.12,290,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",2022-05-22,9
2022-05-22 10:00:00,18.43,18.42,1013,80,14.92,4.88,75,10000,4.12,300,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",2022-05-22,10
2022-05-22 11:00:00,19.98,19.97,1013,74,15.21,6.62,75,10000,4.12,300,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",2022-05-22,11
2022-05-22 12:00:00,19.34,19.42,1013,80,15.81,7.73,75,10000,4.12,300,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",2022-05-22,12
2022-05-22 13:00:00,19.5,19.57,1012,79,15.76,5.21,75,10000,4.63,330,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",2022-05-22,13
2022-05-22 14:00:00,20.6,20.65,1013,74,15.81,4.63,75,10000,3.6,320,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",2022-05-22,14
2022-05-22 15:00:00,19.87,19.92,1013,77,15.72,3.56,75,10000,4.63,250,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",2022-05-22,15
2022-05-22 16:00:00,19.31,19.31,1013,77,15.18,2.07,75,10000,4.63,310,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",2022-05-22,16
2022-05-22 17:00:00,18.99,19.03,1013,80,15.46,1.08,75,10000,4.12,310,"[{'id': 300, 'main': 'Drizzle', 'description': 'light intensity drizzle', 'icon': '09d'}]",2022-05-22,17
2022-05-22 18:00:00,18.09,18.1,1013,82,14.97,0.42,75,10000,3.6,310,"[{'id': 300, 'main': 'Drizzle', 'description': 'light intensity drizzle', 'icon': '09d'}]",2022-05-22,18
2022-05-22 19:00:00,17.9,17.89,1014,82,14.79,0.11,75,10000,4.63,330,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",2022-05-22,19
2022-05-22 20:00:00,17.32,17.25,1014,82,14.22,0.0,75,10000,4.12,350,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",2022-05-22,20
2022-05-22 21:00:00,17.19,17.11,1013,82,14.09,0.0,75,10000,4.63,340,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",2022-05-22,21
2022-05-22 22:00:00,17.12,17.05,1014,83,14.21,0.0,75,10000,3.6,350,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",2022-05-22,22
2022-05-22 23:00:00,16.71,16.58,1014,82,13.62,0.0,75,10000,4.63,330,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",2022-05-22,23
2022-05-23 00:00:00,16.47,16.34,1014,83,13.58,0.0,75,10000,4.12,320,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",2022-05-23,0
2022-05-23 01:00:00,16.37,16.18,1013,81,13.11,0.0,75,10000,4.12,330,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",2022-05-23,1
2022-05-23 02:00:00,15.82,15.62,1013,83,12.94,0.0,40,10000,4.63,330,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",2022-05-23,2
2022-05-23 03:00:00,15.52,15.24,1017,81,12.28,0.0,40,10000,3.6,330,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",2022-05-23,3
2022-05-23 04:00:00,15.22,14.89,1012,80,11.8,0.0,75,10000,3.6,340,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",2022-05-23,4
2022-05-23 05:00:00,14.98,14.65,1012,81,11.75,0.0,75,10000,2.57,330,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",2022-05-23,5
2022-05-23 06:00:00,15.13,14.81,1012,81,11.9,0.12,75,10000,2.57,330,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",2022-05-23,6
2022-05-23 07:00:00,15.88,15.56,1013,78,12.05,0.59,40,10000,4.12,340,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",2022-05-23,7
2022-05-23 08:00:00,17.19,16.82,1013,71,11.89,1.67,40,10000,6.17,350,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",2022-05-23,8
2022-05-23 09:00:00,18.76,18.44,1013,67,12.51,3.41,20,10000,6.69,350,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",2022-05-23,9
2022-05-23 10:00:00,19.63,19.35,1011,65,12.88,4.78,20,10000,6.69,340,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",2022-05-23,10
2022-05-23 11:00:00,20.54,20.27,1013,62,13.02,6.47,75,10000,6.69,350,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",2022-05-23,11
2022-05-23 12:00:00,21.14,20.9,1012,61,13.33,7.57,40,10000,6.17,350,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",2022-05-23,12
2022-05-23 13:00:00,21.77,21.54,1012,59,13.41,8.35,75,10000,6.69,340,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",2022-05-23,13
2022-05-23 14:00:00,21.85,21.63,1012,59,13.49,7.43,75,10000,6.69,330,"[{'id': 300, 'main': 'Drizzle', 'description': 'light intensity drizzle', 'icon': '09d'}]",2022-05-23,14
2022-05-23 15:00:00,20.2,19.97,1011,65,13.42,5.72,40,10000,8.23,320,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",2022-05-23,15
2022-05-23 16:00:00,19.89,19.53,1012,61,12.16,3.78,40,10000,7.72,350,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",2022-05-23,16
2022-05-23 17:00:00,19.75,19.37,1011,61,12.02,1.98,40,10000,8.75,340,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",2022-05-23,17
2022-05-23 18:00:00,19.0,18.5,1011,59,10.82,0.76,40,10000,8.23,340,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",2022-05-23,18
2022-05-23 19:00:00,17.59,17.02,1012,62,10.23,0.18,20,10000,8.23,350,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",2022-05-23,19
2022-05-23 20:00:00,16.46,15.88,1012,66,10.1,0.0,20,10000,8.75,360,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",2022-05-23,20
2022-05-23 21:00:00,15.53,15.02,1012,72,10.51,0.0,20,10000,7.2,350,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",2022-05-23,21
2022-05-23 22:00:00,15.37,14.84,1012,72,10.36,0.0,20,10000,7.72,350,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",2022-05-23,22
2022-05-23 23:00:00,14.98,14.47,1012,74,10.39,0.0,20,10000,6.17,350,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",2022-05-23,23
