dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,wind_gust,weather,date,hour,rain
2022-05-31 00:00:00,18.71,18.8,1010,83,15.77,0.0,75,10000,10.28,180,18.78,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",2022-05-31,0,
2022-05-31 01:00:00,18.68,18.59,1010,76,14.37,0.0,75,10000,4.63,190,,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",2022-05-31,1,
2022-05-31 02:00:00,18.68,18.8,1009,84,15.92,0.0,75,10000,9.83,180,12.96,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",2022-05-31,2,
2022-05-31 03:00:00,18.33,18.44,1009,85,15.77,0.0,75,10000,10.73,180,14.75,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",2022-05-31,3,
2022-05-31 04:00:00,18.1,18.21,1009,86,15.72,0.0,40,10000,12.07,180,12.07,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",2022-05-31,4,
2022-05-31 05:00:00,18.1,18.24,1009,87,15.9,0.0,20,10000,8.49,180,14.75,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",2022-05-31,5,
2022-05-31 06:00:00,18.11,18.3,1009,89,16.27,0.05,75,10000,5.14,150,,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",2022-05-31,6,
2022-05-31 07:00:00,18.58,18.74,1010,86,16.19,0.24,75,10000,9.39,180,12.96,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",2022-05-31,7,
2022-05-31 08:00:00,19.21,19.35,1010,83,16.25,0.67,75,10000,13.86,180,17.43,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",2022-05-31,8,
2022-05-31 09:00:00,20.65,20.7,1010,74,15.85,1.36,75,10000,12.52,180,16.99,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",2022-05-31,9,
2022-05-31 10:00:00,20.94,20.97,1010,72,15.71,3.75,75,10000,8.49,180,24.14,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",2022-05-31,10,
2022-05-31 11:00:00,21.63,21.62,1010,68,15.47,5.05,75,10000,21.9,225,21.9,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",2022-05-31,11,
2022-05-31 12:00:00,21.46,21.46,1011,69,15.54,5.88,75,10000,12.07,315,23.69,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",2022-05-31,12,
2022-05-31 13:00:00,21.72,21.64,1011,65,14.86,8.95,75,10000,17.43,180,22.35,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",2022-05-31,13,
2022-05-31 14:00:00,22.67,22.59,1010,61,14.77,7.99,75,10000,15.2,360,22.8,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",2022-05-31,14,
2022-05-31 15:00:00,22.13,22.17,1010,68,15.95,6.17,40,10000,20.12,180,26.38,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",2022-05-31,15,
2022-05-31 16:00:00,22.05,22.14,1010,70,16.33,3.13,20,10000,16.09,225,23.69,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",2022-05-31,16,
2022-05-31 17:00:00,21.93,22.06,1010,72,16.66,1.67,20,10000,15.2,180,22.35,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",2022-05-31,17,
2022-05-31 18:00:00,21.0,21.14,1010,76,16.61,0.67,40,10000,18.78,180,25.93,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",2022-05-31,18,
2022-05-31 19:00:00,20.08,20.28,1010,82,16.91,0.09,75,10000,19.67,225,20.12,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",2022-05-31,19,
2022-05-31 20:00:00,19.66,19.87,1010,84,16.88,0.0,20,10000,17.43,180,19.67,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",2022-05-31,20,
2022-05-31 21:00:00,19.67,19.89,1011,84,16.89,0.0,75,10000,12.96,225,19.67,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",2022-05-31,21,
2022-05-31 22:00:00,19.3,19.48,1011,84,16.53,0.0,40,10000,12.52,180,17.43,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",2022-05-31,22,
2022-05-31 23:00:00,19.07,19.28,1011,86,16.68,0.0,75,10000,12.52,180,22.35,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",2022-05-31,23,
2022-06-01 00:00:00,19.07,19.3,1011,87,16.86,0.0,75,10000,19.22,135,19.22,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",2022-06-01,0,
2022-06-01 01:00:00,18.67,18.94,1011,90,17.0,0.0,75,10000,17.88,135,23.69,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",2022-06-01,1,
2022-06-01 02:00:00,18.52,18.73,1010,88,16.5,0.0,75,10000,10.28,135,15.2,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",2022-06-01,2,
2022-06-01 03:00:00,17.77,17.87,1010,87,15.58,0.0,75,10000,9.39,225,18.78,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",2022-06-01,3,
2022-06-01 04:00:00,17.19,17.26,1010,88,15.19,0.0,40,10000,9.83,180,12.07,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",2022-06-01,4,
2022-06-01 05:00:00,16.91,16.95,1010,88,14.91,0.0,20,10000,6.71,135,9.83,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",2022-06-01,5,
2022-06-01 06:00:00,17.25,17.33,1011,88,15.25,0.14,20,10000,7.6,180,11.62,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",2022-06-01,6,
2022-06-01 07:00:00,18.57,18.65,1012,83,15.63,0.53,75,10000,13.86,225,17.43,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",2022-06-01,7,
2022-06-01 08:00:00,19.34,19.34,1012,77,15.21,1.42,75,10000,16.09,180,17.43,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",2022-06-01,8,
2022-06-01 09:00:00,20.26,20.2,1013,71,14.84,2.84,40,10000,14.75,180,23.69,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",2022-06-01,9,
2022-06-01 10:00:00,21.07,21.01,1013,68,14.94,3.48,75,10000,17.88,270,21.46,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",2022-06-01,10,
2022-06-01 11:00:00,20.79,20.7,1013,68,14.67,4.68,40,10000,15.2,315,22.8,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",2022-06-01,11,
2022-06-01 12:00:00,20.69,20.64,1013,70,15.03,5.44,75,10000,24.14,180,26.82,"[{'id': 520, 'main': 'Rain', 'description': 'light intensity shower rain', 'icon': '09d'}]",2022-06-01,12,{'1h': 0.12}
2022-06-01 13:00:00,20.1,20.07,1015,73,15.11,8.68,40,10000,8.75,200,,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",2022-06-01,13,
2022-06-01 14:00:00,21.43,21.4,1013,68,15.28,7.75,75,10000,16.99,180,21.46,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",2022-06-01,14,
2022-06-01 15:00:00,21.46,21.38,1013,66,14.85,6.0,40,10000,14.31,180,21.01,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",2022-06-01,15,
2022-06-01 16:00:00,21.37,21.36,1012,69,15.45,4.05,75,10000,15.2,135,25.03,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",2022-06-01,16,
2022-06-01 17:00:00,21.01,20.99,1012,70,15.33,2.16,40,10000,14.75,180,23.69,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",2022-06-01,17,
2022-06-01 18:00:00,20.42,20.45,1012,74,15.63,0.86,40,10000,16.09,180,21.01,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",2022-06-01,18,
2022-06-01 19:00:00,19.65,19.63,1012,75,15.1,0.22,20,10000,9.39,270,16.09,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",2022-06-01,19,
2022-06-01 20:00:00,18.61,18.69,1012,83,15.67,0.0,20,10000,16.09,180,17.88,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",2022-06-01,20,
2022-06-01 21:00:00,18.51,18.61,1013,84,15.76,0.0,40,10000,12.52,180,16.54,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",2022-06-01,21,
2022-06-01 22:00:00,18.51,18.64,1013,85,15.94,0.0,40,10000,9.83,180,15.2,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",2022-06-01,22,
2022-06-01 23:00:00,18.17,18.31,1012,87,15.97,0.0,75,10000,12.07,157,16.09,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",2022-06-01,23,
