dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,weather,wind_gust,date,hour
2022-12-02 00:00:00,10.86,10.04,1015,78,7.18,0.0,0,10000,3.09,20,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,2022-12-02,0
2022-12-02 01:00:00,9.96,7.9,1014,77,6.12,0.0,0,10000,4.12,20,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,2022-12-02,1
2022-12-02 02:00:00,9.53,7.62,1014,76,5.52,0.0,0,10000,3.6,20,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,2022-12-02,2
2022-12-02 03:00:00,8.83,7.05,1014,77,5.02,0.0,0,10000,3.09,30,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,2022-12-02,3
2022-12-02 04:00:00,9.1,6.68,1013,75,4.91,0.0,0,10000,4.47,135,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",4.47,2022-12-02,4
2022-12-02 05:00:00,8.13,6.18,1013,78,4.53,0.0,0,10000,3.13,135,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",8.05,2022-12-02,5
2022-12-02 06:00:00,7.75,4.14,1013,74,3.41,0.0,0,10000,6.71,135,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",6.71,2022-12-02,6
2022-12-02 07:00:00,7.21,4.79,1013,77,3.45,0.0,0,10000,3.6,10,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,2022-12-02,7
2022-12-02 08:00:00,6.73,4.52,1013,78,3.17,0.0,0,10000,3.09,40,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,2022-12-02,8
2022-12-02 09:00:00,8.34,6.17,1013,74,3.98,0.31,0,10000,3.6,40,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,2022-12-02,9
2022-12-02 10:00:00,9.16,6.48,1013,75,4.97,0.89,0,10000,5.14,30,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,2022-12-02,10
2022-12-02 11:00:00,10.37,9.29,1012,70,5.14,1.59,0,10000,7.15,135,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",8.49,2022-12-02,11
2022-12-02 12:00:00,10.98,10.07,1012,74,6.53,2.13,0,10000,4.63,50,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,2022-12-02,12
2022-12-02 13:00:00,12.97,12.05,1011,66,6.78,2.22,0,10000,4.47,180,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",4.92,2022-12-02,13
2022-12-02 14:00:00,13.89,13.06,1010,66,7.65,1.78,0,10000,4.12,10,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,2022-12-02,14
2022-12-02 15:00:00,14.56,13.79,1010,66,8.29,1.07,0,10000,5.36,135,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",8.05,2022-12-02,15
2022-12-02 16:00:00,14.67,13.97,1010,68,8.83,0.44,0,10000,4.92,135,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",5.81,2022-12-02,16
2022-12-02 17:00:00,13.72,13.0,1010,71,8.56,0.0,0,10000,2.24,135,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",4.02,2022-12-02,17
2022-12-02 18:00:00,12.88,12.16,1010,74,8.36,0.0,0,10000,2.68,135,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",3.13,2022-12-02,18
2022-12-02 19:00:00,12.39,11.77,1010,80,9.04,0.0,0,10000,2.57,50,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,2022-12-02,19
2022-12-02 20:00:00,11.69,11.0,1009,80,8.36,0.0,0,10000,3.09,60,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,2022-12-02,20
2022-12-02 21:00:00,11.41,10.75,1009,82,8.45,0.0,0,10000,3.09,60,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,2022-12-02,21
2022-12-02 22:00:00,9.64,8.72,1009,87,7.58,0.0,0,10000,2.06,60,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,2022-12-02,22
2022-12-02 23:00:00,9.12,7.66,1009,82,6.21,0.0,0,10000,2.68,135,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",4.47,2022-12-02,23
2022-12-03 00:00:00,9.07,7.32,1009,84,6.51,0.0,20,10000,3.13,135,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",4.02,2022-12-03,0
2022-12-03 01:00:00,8.39,6.01,1009,87,6.36,0.0,20,10000,4.02,135,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",4.47,2022-12-03,1
2022-12-03 02:00:00,8.27,6.72,1008,87,6.24,0.0,20,10000,2.57,60,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-12-03,2
2022-12-03 03:00:00,8.3,6.68,1009,82,5.41,0.0,75,10000,2.68,135,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",3.13,2022-12-03,3
